Pitcher Name,Pitch Type,PitcherThrows,RelSpeed,SpinRate,RelHeight,RelSide,Vertical Approach Angle (°),Extension,InducedVertBreak,Horizontal Break (in),ABS_Horizontal,ABS_RelSide,differential_break,Stuff+
"#19, Arias",Fastball,Undefined,89.45,2092.45,6.78,0.59,-5.73,5.76,19.43,8.92,8.92,0.59,10.51,63.621002723028965
"#19, Arias",Slider,Undefined,78.53,2158.89,6.37,1.39,-7.97,5.38,7.56,-8.7,8.7,1.39,1.1399999999999997,92.45509666602325
"#43, Quinn",ChangeUp,Undefined,77.03,1623.06,6.62,2.01,-8.39,5.57,4.61,3.77,3.77,2.01,0.8400000000000003,83.0350101496048
"#43, Quinn",Fastball,Undefined,85.13,2224.76,6.52,1.92,-6.11,6.29,19.94,9.67,9.67,1.92,10.270000000000001,72.43908373721189
"#43, Quinn",Slider,Undefined,73.35,2702.46,6.53,2.11,-12.39,5.16,-14.51,-9.19,9.19,2.11,23.7,50.46968006553543
", ",ChangeUp,Undefined,79.06,1684.25,5.56,1.58,-7.69,5.96,11.37,7.08,7.08,1.58,4.289999999999999,72.55851171071583
", ",Curveball,Undefined,74.79,2403.37,5.64,1.2,-8.92,5.14,-9.43,-11.44,11.44,1.2,20.869999999999997,81.70722959496592
", ",Fastball,Undefined,86.04,2135.21,5.52,1.11,-5.52,5.7,13.24,7.06,7.06,1.11,6.180000000000001,68.4666842294535
", ",Slider,Undefined,76.08,2270.37,5.05,1.21,-7.85,5.58,1.57,-2.24,2.24,1.21,0.6700000000000002,50.944584996214594
", 45",Fastball,Undefined,85.52,1982.22,5.78,1.31,-5.84,6.12,,,,1.31,,87.55115548069192
", 45",Slider,Undefined,78.11,2080.18,5.37,1.9,-7.44,5.48,,,,1.9,,57.975017481393124
", Blakely",ChangeUp,Undefined,83.52,1891.57,5.57,1.68,-7.33,6.02,,,,1.68,,89.95901141125125
", Blakely",Curveball,Undefined,82.41,2358.05,5.95,1.55,-5.45,5.7,,,,1.55,,101.25094273626378
", Blakely",Cutter,Undefined,82.83,2213.88,5.65,1.51,-6.86,5.7,,,,1.51,,66.59832730235958
", Blakely",Fastball,Undefined,86.6,2258.29,5.7,1.57,-6.06,6.06,,,,1.57,,179.43422268512663
", Blakely",FourSeamFastBall,Undefined,87.98,2304.26,5.77,1.32,-4.66,5.69,,,,1.32,,
", Blakely",Slider,Undefined,73.35,2365.99,4.76,2.81,-8.21,5.07,,,,2.81,,26.746158464923326
", gold",ChangeUp,Undefined,77.81,2106.11,5.24,-1.85,-7.49,5.57,,,,1.85,,75.07249668595148
", gold",Curveball,Undefined,75.22,2255.76,5.54,-1.29,-8.75,5.29,,,,1.29,,47.46600100790023
", gold",Fastball,Undefined,85.09,2145.9,5.6,-0.54,-5.85,5.81,,,,0.54,,156.1538403332251
", gold",Slider,Undefined,75.66,2148.62,5.28,1.65,-8.32,5.44,,,,1.65,,42.60110230573093
"ACKER, Trey",Curveball,Right,70.06,2076.45,5.37,1.15,-8.94,4.88,-0.54,-10.38,10.38,1.15,10.920000000000002,70.28084931500139
"ACKER, Trey",Fastball,Right,78.73,1924.05,5.45,1.08,-6.5,5.71,14.06,13.24,13.24,1.08,0.8200000000000003,60.40971695534393
"ACKER, Trey",Slider,Right,68.0,1943.73,5.47,1.17,-7.94,4.98,-1.46,-10.66,10.66,1.17,12.120000000000001,64.79824185905771
"ACKER, Trey",Splitter,Right,69.58,1134.93,5.35,1.11,-9.42,5.2,8.87,6.14,6.14,1.11,2.7299999999999995,
"Abadie, Connor",ChangeUp,Left,80.5,1861.7,5.33,-1.48,-7.61,4.19,8.4,-17.2,17.2,1.48,8.799999999999999,58.173754559512034
"Abadie, Connor",Curveball,Left,79.03,1784.06,5.15,-1.59,-6.1,4.11,12.31,-17.22,17.22,1.59,4.909999999999998,183.46484643785445
"Abadie, Connor",Fastball,Left,86.5,2192.2,5.74,-1.53,-5.92,4.96,13.81,-14.9,14.9,1.53,1.0899999999999999,65.19188985025212
"Abadie, Connor",Slider,Left,74.84,2351.96,5.36,-1.68,-8.78,4.42,-6.64,7.42,7.42,1.68,14.059999999999999,65.56235994681965
"Abbey, Zach",ChangeUp,Left,82.72,1810.06,5.6,-1.08,-6.31,7.0,15.23,-12.99,12.99,1.08,2.24,70.80494173384453
"Abbey, Zach",Fastball,Left,86.66,2042.98,5.83,-0.9,-5.5,6.39,23.97,-8.02,8.02,0.9,15.95,93.07296781185313
"Abbey, Zach",Slider,Left,74.63,2056.23,5.68,-1.1,-9.61,6.11,-1.72,16.31,16.31,1.1,18.029999999999998,63.197915119260614
"Abbot, Colby",ChangeUp,Right,78.13,1840.73,5.61,1.73,-9.11,4.87,3.97,20.12,20.12,1.73,16.150000000000002,90.71455537898291
"Abbot, Colby",Curveball,Right,80.07,2389.16,5.65,2.82,-10.54,5.26,-7.38,-0.43,0.43,2.82,7.81,89.43982406337929
"Abbot, Colby",Fastball,Right,84.95,1908.31,5.92,1.33,-6.79,4.97,10.56,17.42,17.42,1.33,6.860000000000001,77.87046091016533
"Abbot, Colby",Slider,Right,77.54,2266.75,5.68,1.57,-9.47,4.88,-4.23,0.89,0.89,1.57,5.12,62.85584669516887
"Abbott, Levi",Curveball,Right,76.49,2645.8,6.39,0.55,-10.5,4.57,-12.52,-9.22,9.22,0.55,21.740000000000002,61.86104346464126
"Abbott, Levi",Fastball,Right,88.26,2377.14,6.36,0.65,-6.86,5.31,10.16,-2.48,2.48,0.65,7.68,70.91503314084758
"Abel, Coleson",Curveball,Left,76.49,2566.92,5.97,-1.68,-10.47,4.74,-10.94,13.54,13.54,1.68,24.479999999999997,84.96345246700324
"Abel, Coleson",Fastball,Left,85.59,2334.74,6.05,-1.39,-6.58,5.29,15.68,-1.62,1.62,1.39,14.059999999999999,86.71019285150406
"Abel, Coleson",Slider,Left,77.26,2586.04,5.96,-1.44,-9.88,4.88,-7.77,16.91,16.91,1.44,24.68,66.6274337749589
"Abeldt, Benjamin",ChangeUp,Left,82.07,1386.44,4.75,-5.11,-7.24,5.41,1.07,-13.69,13.69,5.11,12.62,158.24478817639977
"Abeldt, Benjamin",Curveball,Left,80.24,2918.28,5.61,1.69,-9.16,5.34,-14.99,-12.02,12.02,1.69,27.009999999999998,166.46820845966187
"Abeldt, Benjamin",Cutter,Left,80.47,2564.54,4.58,-5.26,-4.17,4.83,7.58,0.36,0.36,5.26,7.22,123.03718547315232
"Abeldt, Benjamin",Fastball,Left,92.25,2251.05,5.18,-4.74,-4.95,5.7,11.47,-17.45,17.45,4.74,5.979999999999999,211.90510650293723
"Abeldt, Benjamin",Sinker,Left,91.97,2218.48,5.13,-4.62,-4.71,5.86,11.76,-17.76,17.76,4.62,6.000000000000002,174.67114508083577
"Abeldt, Benjamin",Slider,Left,80.43,2572.22,4.76,-5.06,-7.14,4.95,-0.14,4.28,4.28,5.06,4.42,88.69059870948053
"Abell, Mark",Curveball,Right,77.81,2668.64,5.35,1.69,-7.91,5.4,-3.53,-12.02,12.02,1.69,15.549999999999999,92.73620682696247
"Abell, Mark",Fastball,Right,88.41,2265.49,5.37,1.54,-5.1,6.2,16.35,13.63,13.63,1.54,2.7200000000000006,85.05966316854393
"Abell, Mark",FourSeamFastBall,Right,89.76,2384.5,5.36,1.44,-4.3,6.06,20.65,11.11,11.11,1.44,9.54,
"Abell, Mark",Slider,Right,76.73,2508.83,5.22,1.74,-7.77,5.55,4.91,-14.27,14.27,1.74,9.36,86.89812265373179
"Abendroth, Brennyn",ChangeUp,Right,77.17,1842.42,6.34,1.45,-7.98,6.28,12.56,13.86,13.86,1.45,1.299999999999999,68.21782893084598
"Abendroth, Brennyn",Fastball,Right,89.3,2188.18,6.7,0.94,-5.79,6.31,20.38,10.29,10.29,0.94,10.09,87.14340864310878
"Abendroth, Brennyn",Slider,Right,75.15,2369.93,6.34,1.36,-9.97,5.59,0.65,-8.78,8.78,1.36,8.129999999999999,52.775094097854826
"Abernathy, Ben",ChangeUp,Right,80.49,1737.26,5.32,2.15,-7.0,5.38,5.28,12.19,12.19,2.15,6.909999999999999,78.57339570023254
"Abernathy, Ben",Curveball,Right,79.53,2083.61,5.41,2.03,-7.95,5.04,-0.27,-9.04,9.04,2.03,9.309999999999999,115.90977036054284
"Abernathy, Ben",Fastball,Right,90.19,2259.12,5.62,2.08,-5.1,5.31,11.93,14.91,14.91,2.08,2.9800000000000004,93.84114656719116
"Abernathy, Ben",Sinker,Right,89.53,2204.73,5.59,1.94,-5.61,5.33,10.31,13.27,13.27,1.94,2.959999999999999,76.83976094930792
"Abernathy, Ben",Slider,Right,79.81,2168.23,5.36,2.1,-7.91,4.91,-0.49,-11.72,11.72,2.1,12.21,57.856048583559215
"Abernathy, Ben",TwoSeamFastBall,Right,88.47,2201.06,5.42,2.38,-4.67,5.43,9.89,18.06,18.06,2.38,8.169999999999998,
"Abernathy, Ben",Undefined,Right,86.65,2090.78,5.6,1.91,-6.06,5.17,7.48,5.93,5.93,1.91,1.5500000000000007,
"Abernathy, Jackson",ChangeUp,Right,79.25,1950.76,5.94,1.72,-8.1,5.25,10.92,14.34,14.34,1.72,3.42,77.58367607127404
"Abernathy, Jackson",Fastball,Right,86.88,2190.55,6.0,1.6,-5.23,5.34,16.42,8.93,8.93,1.6,7.490000000000002,60.60250893767451
"Abernathy, Jackson",Slider,Right,76.43,2292.14,5.97,1.56,-8.27,4.91,5.56,-9.7,9.7,1.56,4.14,71.13689001934145
"Abernathy, Jackson",Undefined,Right,85.62,1840.55,6.08,1.15,-6.08,5.51,13.92,9.29,9.29,1.15,4.630000000000001,
"Abler, Andrew",ChangeUp,Right,75.57,1751.63,5.9,1.6,-8.54,5.29,5.46,4.83,4.83,1.6,0.6299999999999999,82.29908447614947
"Abler, Andrew",Curveball,Right,74.49,2210.83,6.06,1.4,-10.47,4.96,-9.56,-10.92,10.92,1.4,20.48,80.24443224806804
"Abler, Andrew",Fastball,Right,87.83,2149.67,5.95,1.58,-5.45,5.19,16.38,11.71,11.71,1.58,4.669999999999998,71.68642876531322
"Abler, Andrew",FourSeamFastBall,Right,88.12,1995.66,6.15,1.38,-5.26,5.74,17.24,9.12,9.12,1.38,8.12,
"Abler, Andrew",Slider,Right,76.16,2224.34,5.92,1.47,-8.98,4.65,-3.99,-7.85,7.85,1.47,11.84,76.01975076081546
"Abraham, John",ChangeUp,Right,86.25,1879.96,6.17,2.15,-7.4,5.44,10.55,12.92,12.92,2.15,2.369999999999999,70.419172298357
"Abraham, John",Curveball,Right,79.41,2896.7,6.34,1.92,-9.69,4.87,-6.6,-9.9,9.9,1.92,16.5,187.23612313752557
"Abraham, John",Fastball,Right,91.15,2275.14,6.18,1.75,-5.26,5.59,15.77,7.31,7.31,1.75,8.46,109.18126203544733
"Abraham, John",FourSeamFastBall,Right,92.0,2228.09,6.04,0.05,-4.97,6.08,20.9,-1.79,1.79,0.05,19.11,
"Abraham, John",Slider,Right,80.8,2796.26,6.15,1.7,-9.39,5.02,-3.0,-5.73,5.73,1.7,8.73,66.60389490220282
"Abraham, John",Undefined,Right,,,,,,,,,,,,
"Abraham, Ty",ChangeUp,Right,79.71,1910.32,6.42,1.46,-8.14,4.82,5.38,1.99,1.99,1.46,3.3899999999999997,63.70198647919318
"Abraham, Ty",Curveball,Right,77.25,2204.44,6.61,1.36,-10.32,4.67,-6.64,-4.59,4.59,1.36,11.23,85.25571839993522
"Abraham, Ty",Cutter,Right,79.14,2207.66,6.57,1.88,-9.3,4.96,-2.24,-3.27,3.27,1.88,5.51,63.55792873495246
"Abraham, Ty",Fastball,Right,89.37,2243.26,6.71,1.09,-5.93,5.16,20.92,5.04,5.04,1.09,15.880000000000003,173.352517818047
"Abraham, Ty",Slider,Right,79.49,2222.84,6.53,1.27,-9.1,4.88,-1.06,-2.91,2.91,1.27,3.97,63.91611979123573
"Abraham, Ty",Undefined,Right,86.72,2294.15,6.83,1.19,-7.54,4.85,11.33,-0.92,0.92,1.19,10.41,
"Absher, Luke",ChangeUp,Right,79.27,1834.52,5.67,2.0,-7.18,6.19,10.61,12.36,12.36,2.0,1.75,67.61252917248271
"Absher, Luke",Curveball,Right,77.57,2256.05,5.77,2.1,-10.61,5.38,-3.03,-0.39,0.39,2.1,3.42,72.59493704222277
"Absher, Luke",Fastball,Right,86.39,2208.31,5.74,1.91,-5.8,6.04,15.28,11.01,11.01,1.91,4.27,74.16232698844021
"Absher, Luke",Other,Right,77.1,793.46,5.72,2.13,-9.28,5.36,0.46,3.69,3.69,2.13,3.23,
"Absher, Luke",Slider,Right,76.28,2329.7,5.77,1.97,-8.73,5.3,-1.36,-8.61,8.61,1.97,9.969999999999999,61.13845177008801
"Absher, Luke",Splitter,Right,76.95,1068.68,6.07,1.72,-9.87,5.46,0.46,1.24,1.24,1.72,0.78,
"Abshier, Randy",ChangeUp,Left,83.41,1807.3,5.76,-1.2,-7.68,6.24,6.47,-11.5,11.5,1.2,5.03,90.01771087599994
"Abshier, Randy",Curveball,Left,75.53,2482.06,5.82,-1.16,-10.01,5.71,-10.71,14.8,14.8,1.16,25.51,78.08136136484256
"Abshier, Randy",Fastball,Left,88.89,2297.59,5.96,-0.97,-5.08,6.17,15.9,-8.93,8.93,0.97,6.970000000000001,93.92141164243213
"Abshier, Randy",Slider,Left,79.15,2536.51,5.78,-1.27,-8.73,5.59,-4.05,10.1,10.1,1.27,14.149999999999999,71.0317765635216
"Acierni, Andrew",Undefined,Right,76.73,2022.48,5.69,1.94,-7.4,5.73,10.14,5.45,5.45,1.94,4.69,
"Ackenhausen, Nathan",ChangeUp,Left,85.57,2077.53,6.41,-0.77,-7.65,5.33,7.09,-8.67,8.67,0.77,1.58,72.84092575833958
"Ackenhausen, Nathan",Fastball,Left,91.97,2392.53,6.6,-0.7,-5.35,5.23,20.3,-12.86,12.86,0.7,7.440000000000001,73.58576687338581
"Ackenhausen, Nathan",Knuckleball,Left,81.7,2146.16,6.59,-0.26,-7.81,5.19,3.93,-4.24,4.24,0.26,0.31000000000000005,
"Ackenhausen, Nathan",Slider,Left,83.71,2259.53,6.5,-0.9,-8.08,5.24,4.75,-1.44,1.44,0.9,3.31,89.10542464399882
"Ackenhausen, Nathan",Splitter,Left,83.84,2140.01,6.38,-1.13,-8.19,5.48,6.31,-3.25,3.25,1.13,3.0599999999999996,
"Ackenhausen, Nathan",Undefined,Left,,,,,,,,,,,,
"Ackerman, James",ChangeUp,Right,80.38,2007.84,5.04,2.76,-7.96,6.24,7.08,18.84,18.84,2.76,11.76,73.34964036475685
"Ackerman, James",Curveball,Right,71.06,2500.51,5.26,2.41,-12.2,5.77,-8.83,-13.19,13.19,2.41,22.02,70.42202755610863
"Ackerman, James",Fastball,Right,85.95,2106.22,5.26,2.49,-5.51,6.26,13.46,18.4,18.4,2.49,4.939999999999998,87.1969636539208
"Ackerman, James",Slider,Right,73.04,2451.31,4.92,2.77,-7.87,5.32,-0.31,-10.19,10.19,2.77,10.5,34.70483297886708
"Ackerman, Jess",ChangeUp,Left,81.77,1828.31,5.25,-2.18,-7.4,5.89,2.85,-16.4,16.4,2.18,13.549999999999999,78.04467385454177
"Ackerman, Jess",Curveball,Left,77.42,2465.43,5.37,-2.03,-9.27,5.68,-12.13,13.23,13.23,2.03,25.36,95.99034876032853
"Ackerman, Jess",Fastball,Left,89.95,2161.11,5.27,-2.09,-5.04,6.16,12.1,-17.53,17.53,2.09,5.4300000000000015,107.90003226764631
"Ackerman, Jess",Sinker,Left,89.75,2078.93,5.29,-1.63,-4.92,5.77,14.09,-18.22,18.22,1.63,4.129999999999999,69.61111865101108
"Ackerman, Jess",Slider,Left,81.15,2244.7,5.32,-2.03,-7.63,5.76,-0.01,-0.62,0.62,2.03,0.63,54.64401454926621
"Ackermann, Dylan",ChangeUp,Left,73.91,1339.6,5.3,-2.6,-7.91,4.95,2.72,-18.54,18.54,2.6,15.819999999999999,91.6553852043551
"Ackermann, Dylan",Curveball,Left,70.06,1749.06,5.6,-2.26,-9.14,4.51,-0.93,3.46,3.46,2.26,4.39,79.8759382042808
"Ackermann, Dylan",Sinker,Left,83.99,2142.64,5.61,-2.42,-5.52,5.04,13.15,-21.16,21.16,2.42,8.01,64.66498822897769
"Acosta, Angel",ChangeUp,Right,84.25,1459.49,5.8,2.86,-10.53,6.17,2.33,19.94,19.94,2.86,17.61,89.95812724389259
"Acosta, Angel",Curveball,Right,82.35,2809.72,6.09,2.84,-5.63,4.64,7.74,-15.05,15.05,2.84,7.3100000000000005,196.49359742698812
"Acosta, Angel",Fastball,Right,92.38,2433.72,6.13,2.51,-5.73,6.13,14.63,6.86,6.86,2.51,7.7700000000000005,119.01263529936716
"Acosta, Angel",Slider,Right,81.12,2859.24,5.99,2.89,-8.18,5.3,-1.04,-17.79,17.79,2.89,18.83,77.16247299244064
"Acosta, Angel",Splitter,Right,81.66,2961.95,5.88,2.79,-7.9,5.37,-0.92,-20.95,20.95,2.79,21.87,
"Acosta, Angel",Undefined,Right,,,,,,,,,,,,
"Acosta, Jaykob",ChangeUp,Right,82.28,1510.74,5.51,1.39,-6.89,5.65,9.26,13.88,13.88,1.39,4.620000000000001,85.47734777822869
"Acosta, Jaykob",Curveball,Right,72.61,2216.66,5.98,1.31,-8.95,5.4,-11.54,-7.41,7.41,1.31,18.95,58.16516823542187
"Acosta, Jaykob",Cutter,Right,82.57,2448.88,5.68,1.36,-7.97,5.46,0.24,-5.48,5.48,1.36,5.24,76.8717859801494
"Acosta, Jaykob",Fastball,Right,89.8,2147.47,5.73,1.14,-5.79,6.18,10.89,12.35,12.35,1.14,1.459999999999999,95.33493523495157
"Acosta, Jaykob",FourSeamFastBall,Right,89.47,2147.61,5.93,1.19,-6.38,6.29,13.03,8.91,8.91,1.19,4.119999999999999,
"Acosta, Jaykob",Slider,Right,79.63,2369.78,5.77,1.25,-8.42,5.45,-1.93,-9.19,9.19,1.25,11.12,87.60356827488988
"Acosta, Jaykob",TwoSeamFastBall,Right,88.2,2122.4,5.89,1.33,-7.29,6.33,9.01,17.33,17.33,1.33,8.319999999999999,
"Acosta, Jaykob",Undefined,Right,89.67,2111.84,5.86,1.18,-6.26,5.91,9.53,16.85,16.85,1.18,7.320000000000002,
"Acosta, Joey",ChangeUp,Right,77.93,1398.04,5.39,1.16,-7.68,6.0,2.7,9.84,9.84,1.16,7.14,87.83767619998726
"Acosta, Joey",Curveball,Right,69.74,2351.4,5.41,1.11,-9.42,5.58,-4.93,-17.51,17.51,1.11,22.44,70.24976428007483
"Acosta, Joey",Fastball,Right,85.44,2098.93,5.36,1.17,-5.62,6.36,11.88,11.48,11.48,1.17,0.40000000000000036,52.49471007327554
"Acosta, Joey",Sinker,Right,85.68,2146.26,5.31,1.2,-5.57,6.3,12.88,13.27,13.27,1.2,0.3899999999999988,103.37885022463071
"Acosta, Joey",Slider,Right,74.77,2519.93,5.31,1.17,-7.32,5.8,8.14,-10.5,10.5,1.17,2.3599999999999994,94.21967402505334
"Adair, Austin",ChangeUp,Right,79.45,1444.42,4.2,3.28,-6.95,6.46,3.8,16.06,16.06,3.28,12.259999999999998,81.21201834540788
"Adair, Austin",ChangeUp,Undefined,79.45,1444.42,4.2,3.28,-6.95,6.46,3.8,16.06,16.06,3.28,12.259999999999998,81.21201834540788
"Adair, Austin",Fastball,Right,87.71,2004.67,4.2,3.32,-4.66,5.93,7.54,19.94,19.94,3.32,12.400000000000002,82.60827663042478
"Adair, Austin",Fastball,Undefined,87.71,2004.67,4.2,3.32,-4.66,5.93,7.54,19.94,19.94,3.32,12.400000000000002,82.60827663042478
"Adair, Austin",Slider,Right,77.16,2076.75,4.15,3.51,-6.37,5.9,3.11,0.92,0.92,3.51,2.19,75.78163432290998
"Adair, Austin",Slider,Undefined,77.16,2076.75,4.15,3.51,-6.37,5.9,3.11,0.92,0.92,3.51,2.19,75.78163432290998
"Adair, Bryson",Fastball,Right,88.28,2036.67,4.59,3.32,-5.13,6.29,6.77,16.2,16.2,3.32,9.43,82.58696921028427
"Adair, Bryson",Slider,Right,77.12,2455.88,5.03,3.14,-7.56,5.81,4.37,-15.36,15.36,3.14,10.989999999999998,93.58732989710063
"Adams, Anthony",Fastball,Right,79.17,2288.53,3.95,2.8,-6.05,5.11,-1.85,7.85,7.85,2.8,9.7,52.359624077523925
"Adams, Anthony",Sinker,Right,80.73,2372.74,4.11,2.8,-5.44,4.95,1.25,13.24,13.24,2.8,11.99,92.27855615336776
"Adams, Anthony",Slider,Right,74.06,2665.92,3.74,2.94,-6.58,4.45,0.67,-12.97,12.97,2.94,12.3,26.769273958981028
"Adams, Ayden",Curveball,Right,79.79,2084.19,6.1,1.7,-10.91,5.82,-10.34,-9.7,9.7,1.7,20.04,141.6618931797547
"Adams, Ayden",Fastball,Right,88.24,2187.01,6.1,2.63,-5.9,6.36,13.74,11.28,11.28,2.63,2.460000000000001,55.72841284523409
"Adams, Ayden",Slider,Right,79.61,2125.74,6.02,2.27,-9.13,5.91,-4.57,-7.2,7.2,2.27,11.77,90.69974401079989
"Adams, Ben",ChangeUp,Left,79.91,1651.11,5.73,-1.85,-7.7,6.2,5.96,-13.33,13.33,1.85,7.37,105.58108680711533
"Adams, Ben",Curveball,Left,77.23,1841.51,5.79,-1.6,-8.12,5.96,-6.14,9.1,9.1,1.6,15.239999999999998,78.63070974405392
"Adams, Ben",Fastball,Left,87.64,1994.95,5.89,-1.67,-5.47,6.33,14.27,-15.84,15.84,1.67,1.5700000000000003,52.16732464349402
"Adams, Ben",Sinker,Left,87.98,1999.37,5.81,-1.98,-6.01,6.18,10.97,-17.71,17.71,1.98,6.74,100.49400890503676
"Adams, Ben",Slider,Left,77.41,1894.57,5.74,-1.49,-8.7,6.2,-3.12,7.8,7.8,1.49,10.92,64.44905834390165
"Adams, Ben",Undefined,Left,,,,,,,,,,,,
"Adams, Brandon",ChangeUp,Right,81.87,1901.27,5.21,2.38,-8.12,6.33,3.9,16.18,16.18,2.38,12.28,85.22183972327535
"Adams, Brandon",Curveball,Right,80.43,1793.38,5.46,1.37,-8.42,4.41,-0.72,1.18,1.18,1.37,1.9,67.95775155346328
"Adams, Brandon",Fastball,Right,89.51,2129.05,5.41,2.08,-5.01,6.39,17.96,12.74,12.74,2.08,5.220000000000001,85.38954694277182
"Adams, Brandon",Slider,Right,78.14,2252.68,5.32,2.25,-8.39,5.75,0.37,-9.71,9.71,2.25,9.340000000000002,68.96984046075299
"Adams, Brandon",Splitter,Right,78.47,936.68,5.62,1.29,-8.01,4.66,-1.32,8.58,8.58,1.29,9.9,
"Adams, Bryan",ChangeUp,Right,81.56,1238.45,5.43,1.65,-5.68,5.94,4.09,-7.05,7.05,1.65,2.96,82.57611344606964
"Adams, Bryan",Fastball,Right,88.3,2323.53,5.55,1.83,-5.53,6.8,13.45,7.47,7.47,1.83,5.9799999999999995,74.70665800998432
"Adams, Bryan",Slider,Right,79.8,2576.46,5.52,1.81,-8.04,6.06,0.14,-10.36,10.36,1.81,10.219999999999999,85.77065469866896
"Adams, Bryce",Curveball,Left,67.51,1695.42,5.84,-0.36,-7.29,6.33,-0.46,5.92,5.92,0.36,6.38,82.31902398223328
"Adams, Bryce",Fastball,Left,83.03,1840.8,5.93,-0.22,-5.14,7.04,18.56,-3.83,3.83,0.22,14.729999999999999,134.75762694400706
"Adams, Bryce",Slider,Left,74.8,1713.58,5.61,-0.48,-7.2,6.86,15.9,3.76,3.76,0.48,12.14,62.74885241124617
"Adams, Chase",ChangeUp,Left,81.97,2321.25,6.45,-0.86,-6.6,5.67,8.32,2.77,2.77,0.86,5.550000000000001,91.09962838018164
"Adams, Chase",Curveball,Left,81.81,2281.29,6.42,-1.16,-7.27,6.1,13.1,-0.77,0.77,1.16,12.33,166.44498737923604
"Adams, Chase",Cutter,Left,81.45,2404.22,6.45,-0.8,-7.14,6.04,8.54,3.93,3.93,0.8,4.609999999999999,92.5899498096726
"Adams, Chase",Fastball,Left,89.05,2232.08,6.3,-0.96,-6.18,6.13,16.48,-11.11,11.11,0.96,5.370000000000001,62.14690845747789
"Adams, Chase",Slider,Left,80.83,2336.65,6.32,-0.95,-7.86,5.59,5.7,6.36,6.36,0.95,0.6600000000000001,99.35292145195308
"Adams, Chris",ChangeUp,Right,80.03,2073.8,6.13,1.23,-6.21,5.85,9.41,9.14,9.14,1.23,0.2699999999999996,76.63175910888907
"Adams, Chris",Curveball,Right,76.46,2509.76,6.37,0.86,-9.1,5.47,-1.59,-2.25,2.25,0.86,3.84,71.4989219705301
"Adams, Chris",Fastball,Right,89.18,2105.68,6.46,0.68,-6.16,5.75,16.63,11.57,11.57,0.68,5.059999999999999,80.08170977208762
"Adams, Chris",Slider,Right,77.03,2519.36,6.28,0.86,-9.24,5.56,-1.87,-2.6,2.6,0.86,4.470000000000001,42.993594101688984
"Adams, Connor",ChangeUp,Right,72.99,1754.57,4.27,2.07,-6.69,6.41,-0.87,17.01,17.01,2.07,17.880000000000003,101.55719395896472
"Adams, Connor",Curveball,Right,67.01,1876.6,4.24,2.2,-7.83,5.95,6.64,-6.33,6.33,2.2,0.3099999999999996,127.72850945160643
"Adams, Connor",Fastball,Right,77.84,1753.63,4.32,2.04,-6.75,6.63,-0.45,18.47,18.47,2.04,18.919999999999998,90.62212923167235
"Adams, Connor",Slider,Right,67.54,1979.23,4.14,2.27,-7.34,5.96,7.02,-10.6,10.6,2.27,3.58,75.5005066451583
"Adams, Grant",Undefined,Right,84.56,2347.05,6.63,0.38,-7.4,5.94,9.91,1.83,1.83,0.38,8.08,
"Adams, Robb",ChangeUp,Left,78.77,1826.67,5.7,-3.44,-8.3,6.86,3.71,-15.09,15.09,3.44,11.379999999999999,103.22163812068435
"Adams, Robb",Curveball,Left,71.53,2411.98,5.82,-3.28,-9.68,6.71,-7.45,12.73,12.73,3.28,20.18,64.01685570846472
"Adams, Robb",Cutter,Left,81.86,2342.2,5.61,-3.46,-6.69,6.65,6.35,4.1,4.1,3.46,2.25,88.52192638842727
"Adams, Robb",Fastball,Left,88.26,2168.53,5.79,-3.28,-5.7,7.19,12.9,-10.52,10.52,3.28,2.380000000000001,104.65279276569537
"Adams, Robb",Other,Left,,,,,,,,,,,,
"Adams, Robb",Slider,Left,75.64,2452.35,5.83,-3.34,-9.19,6.47,-1.92,11.93,11.93,3.34,13.85,38.93765418213301
"Adams, Wyatt",Curveball,Right,76.81,2535.83,5.67,3.49,-9.99,5.17,-15.43,-13.99,13.99,3.49,29.42,100.42097569841349
"Adams, Wyatt",Fastball,Right,88.38,2064.5,5.72,3.45,-5.96,5.9,6.97,8.18,8.18,3.45,1.21,116.60616829870403
"Adams, Wyatt",Slider,Right,78.63,2529.6,5.49,3.54,-8.12,5.23,-4.83,-15.43,15.43,3.54,20.259999999999998,68.17870605997051
"Adams, Zane",ChangeUp,Left,81.1,1523.11,6.54,-0.82,-7.61,6.22,14.94,-3.13,3.13,0.82,11.809999999999999,82.43977530541147
"Adams, Zane",Curveball,Left,78.05,2287.13,6.64,-0.86,-10.18,5.43,-5.18,5.3,5.3,0.86,10.48,108.09460845795971
"Adams, Zane",Cutter,Left,84.79,2491.64,5.91,1.11,-6.47,5.69,7.36,-4.05,4.05,1.11,3.3100000000000005,75.32862321285891
"Adams, Zane",Fastball,Left,89.78,2081.94,6.64,-0.74,-6.42,6.24,17.42,-6.34,6.34,0.74,11.080000000000002,88.59846032676732
"Adams, Zane",Slider,Left,79.0,2118.16,6.57,-0.9,-9.41,5.46,2.52,1.26,1.26,0.9,1.26,70.2270064711066
"Adams, Zane",Undefined,Left,85.6,2271.55,6.24,0.21,-7.11,5.99,8.5,-2.17,2.17,0.21,6.33,
"Adare, Bryson",Undefined,Right,76.6,1815.63,5.51,1.34,-7.73,6.26,3.25,-2.48,2.48,1.34,0.77,
